adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm3_ref_name,center_lat,center_lon
Kabirhat,,,,BD20750047,Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,136.6245847,v03,en,,,,,22.81087606,91.19933235
Noakhali Sadar,,,,BD20750087,Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,348.995811,v03,en,,,,,22.80832731,91.04870857
Senbag,,,,BD20750080,Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,165.8062509,v03,en,,,,,22.99063881,91.21267406
Sonaimuri,,,,BD20750083,Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,168.7861196,v03,en,,,,,23.0262944,91.07783166
Subarnachar,,,,BD20750085,Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,566.9380574,v03,en,,,,,22.61923455,91.15640167
Baghaichhari,,,,BD20840007,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,1490.855351,v03,en,,,,,23.38280723,92.23714299
Barkal,,,,BD20840021,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,665.794707,v03,en,,,,,22.83095905,92.34613321
Belaichhari,,,,BD20840029,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,750.6778442,v03,en,,,,,22.2574125,92.48313972
Jurachhari,,,,BD20840047,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,644.7005099,v03,en,,,,,22.55930901,92.45549633
Kaptai,,,,BD20840036,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,252.5775873,v03,en,,,,,22.46236678,92.20166334
Kawkhali,,,,BD20840025,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,237.9129192,v03,en,,,,,22.62348916,92.0122707
Langadu,,,,BD20840058,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,494.2238704,v03,en,,,,,22.97008989,92.21665497
Naniarchar,,,,BD20840075,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,336.5381183,v03,en,,,,,22.83365535,92.07263493
Rajasthali,,,,BD20840078,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,148.2273567,v03,en,,,,,22.371584,92.2445794
Rangamati Sadar,,,,BD20840087,Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,621.7903816,v03,en,,,,,22.64512234,92.20136392
Dhamrai,,,,BD30260014,Dhaka,,,,BD3026,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,305.3680357,v03,en,,,,,23.93897826,90.14080346
Dohar,,,,BD30260018,Dhaka,,,,BD3026,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,142.7777703,v03,en,,,,,23.60157963,90.10840628
Keraniganj,,,,BD30260038,Dhaka,,,,BD3026,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,183.8104902,v03,en,,,,,23.69433062,90.34365782
Nawabganj,,,,BD30260062,Dhaka,,,,BD3026,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,248.1206357,v03,en,,,,,23.67242589,90.16080129
Savar,,,,BD30260072,Dhaka,,,,BD3026,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,285.4792987,v03,en,,,,,23.87995122,90.28057123
Alfadanga,,,,BD30290003,Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,130.1345735,v03,en,,,,,23.29513493,89.67033006
Bhanga,,,,BD30290010,Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,218.4303162,v03,en,,,,,23.38910046,90.0100025
Boalmari,,,,BD30290018,Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,262.7949367,v03,en,,,,,23.39867627,89.69242212
Char Bhadrasan,,,,BD30290021,Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,136.9313174,v03,en,,,,,23.59005054,89.98012695
Faridpur Sadar,,,,BD30290047,Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,394.4088153,v03,en,,,,,23.5974305,89.81272444
Madhukhali,,,,BD30290056,Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,236.8530621,v03,en,,,,,23.54110013,89.61112757
Nagarkanda,,,,BD30290062,Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,193.9944158,v03,en,,,,,23.43433249,89.89562244
Sadarpur,,,,BD30290084,Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,274.0318515,v03,en,,,,,23.49841249,90.05092519
Saltha,,,,BD30290090,Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,190.0643444,v03,en,,,,,23.41804522,89.80078563
Gazipur Sadar,,,,BD30330030,Gazipur,,,,BD3033,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,137.9890496,v03,en,,,,,24.08486105,90.42475588
Kaliakair,,,,BD30330032,Gazipur,,,,BD3033,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,311.3946977,v03,en,,,,,24.10221402,90.26555217
Kaliganj,,,,BD30330034,Gazipur,,,,BD3033,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,221.8649819,v03,en,,,,,23.96481774,90.55522821
Kapasia,,,,BD30330036,Gazipur,,,,BD3033,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,361.828507,v03,en,,,,,24.14779535,90.60046014
Sreepur,,,,BD30330086,Gazipur,,,,BD3033,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,462.035484,v03,en,,,,,24.20580898,90.44362975
Gopalganj Sadar,,,,BD30350032,Gopalganj,,,,BD3035,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,383.2381951,v03,en,,,,,23.06056181,89.84767364
Kashiani,,,,BD30350043,Gopalganj,,,,BD3035,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,291.5282437,v03,en,,,,,23.19131338,89.79519002
